,Chauvigny,Beuvry,Hardelot,Vannes,Lorient,Nantes,Rennes
P̩nestin,3:23:49,6:27:16,5:59:38,0:42:51,1:16:15,1:09:40,1:41:45
Damgan,3:25:33,6:29:00,5:56:02,0:27:40,1:01:04,1:11:24,1:34:18
Saint Gildas-de-Rhuys,3:44:07,6:45:37,6:00:34,0:32:12,1:05:35,1:29:58,1:38:49
Auray,3:44:07,6:37:55,5:52:52,0:18:26,0:32:15,1:29:58,1:31:08
Crac'h,3:47:10,6:40:58,5:55:55,0:21:29,0:35:08,1:33:01,1:34:10
Carnac,3:54:31,6:48:19,6:03:16,0:28:50,0:40:14,1:40:22,1:41:31
Erdeven,3:57:45,6:51:33,6:06:31,0:32:05,0:37:09,1:43:36,1:44:46
Etel,4:01:48,6:55:36,6:10:33,0:36:07,0:36:25,1:47:39,1:48:48
Plouhinec,4:05:08,6:52:49,6:07:46,0:39:27,0:25:25,1:50:59,1:46:01
Larmor-Plage,4:13:29,6:56:28,6:11:25,0:47:48,0:10:41,1:59:20,1:49:40
Hirel,4:08:11,5:11:56,4:21:15,1:57:57,2:12:55,1:59:02,0:50:42
Cancale,4:12:17,5:27:05,4:36:25,2:02:03,2:23:34,2:03:08,0:54:48
Saint-Malo,4:12:30,5:28:48,4:38:07,2:02:16,2:19:10,2:03:21,0:55:01
Dinard,4:10:38,5:26:56,4:36:16,1:53:41,2:08:12,2:01:30,0:53:10
